timestamp,modulo,temperatura (°C),umidità (%)
2025-04-15 15:35:32,a,26.62,44.11
2025-04-15 15:35:37,a,26.61,44.03
2025-04-15 15:35:42,a,26.62,44.03
2025-04-15 15:35:47,a,26.61,44.04
2025-04-15 15:35:52,a,26.62,44.03
2025-04-15 15:35:57,a,26.61,43.99
2025-04-15 15:36:02,a,26.61,43.91
2025-04-15 15:36:07,a,26.61,43.95
2025-04-15 15:36:12,a,26.61,43.93
2025-04-15 15:36:17,a,26.61,43.96
2025-04-15 15:36:22,a,26.61,43.95
2025-04-15 15:36:27,a,26.61,43.99
2025-04-15 15:36:32,a,26.59,43.93
2025-04-15 15:36:37,a,26.59,43.91
2025-04-15 15:36:42,a,26.61,43.96
2025-04-15 15:36:47,a,26.61,44.01
2025-04-15 15:36:52,a,26.62,43.93
2025-04-15 15:36:57,a,26.62,43.86
2025-04-15 15:37:02,a,26.62,43.84
2025-04-15 15:37:07,a,26.62,43.84
2025-04-15 15:37:12,a,26.62,43.86
2025-04-15 15:37:17,a,26.62,43.86
2025-04-15 15:37:22,a,26.62,43.99
2025-04-15 15:37:27,a,26.62,44.08
2025-04-15 15:37:32,a,26.62,44.04
2025-04-15 15:37:37,a,26.61,44.03
2025-04-15 15:37:42,a,26.62,43.96
2025-04-15 15:37:47,a,26.62,43.95
2025-04-15 15:37:52,a,26.62,44.00
2025-04-15 15:37:57,a,26.61,43.96
2025-04-15 15:38:02,a,26.61,43.96
2025-04-15 15:38:07,a,26.62,43.95
2025-04-15 15:38:12,a,26.59,43.96
2025-04-15 15:38:17,a,26.59,44.01
2025-04-15 15:38:22,a,26.58,44.03
2025-04-15 15:38:27,a,26.58,44.01
2025-04-15 15:38:32,a,26.56,44.04
2025-04-15 15:38:37,a,26.58,43.99
2025-04-15 15:38:42,a,26.56,44.08
2025-04-15 15:38:47,a,26.56,44.13
2025-04-15 15:38:52,a,26.56,44.09
2025-04-15 15:38:57,a,26.56,44.08
2025-04-15 15:39:02,a,26.56,44.08
2025-04-15 15:39:07,a,26.59,44.11
2025-04-15 15:39:12,a,26.59,44.11
2025-04-15 15:39:17,a,26.58,44.04
2025-04-15 15:39:22,a,26.58,43.93
2025-04-15 15:39:27,a,26.56,44.01
2025-04-15 15:39:32,a,26.55,44.03
2025-04-15 15:39:37,a,26.54,43.98
2025-04-15 15:39:42,a,26.54,43.98
2025-04-15 15:39:47,a,26.52,43.98
2025-04-15 15:39:52,a,26.52,44.06
2025-04-15 15:39:57,a,26.52,44.10
2025-04-15 15:40:02,a,26.52,44.16
2025-04-15 15:40:07,a,26.52,44.20
2025-04-15 15:40:12,a,26.54,44.14
2025-04-15 15:40:17,a,26.54,44.12
2025-04-15 15:40:22,a,26.54,44.10
2025-04-15 15:40:27,a,26.54,44.14
2025-04-15 15:40:32,a,26.51,44.18
2025-04-15 15:40:37,a,26.51,44.12
2025-04-15 15:40:42,a,26.51,44.12
2025-04-15 15:40:47,a,26.52,44.14
2025-04-15 15:40:52,a,26.52,44.14
2025-04-15 15:40:57,a,26.50,44.14
2025-04-15 15:41:02,a,26.51,44.14
2025-04-15 15:41:07,a,26.51,44.23
2025-04-15 15:41:12,a,26.52,44.18
2025-04-15 15:41:17,a,26.52,44.27
2025-04-15 15:41:22,a,26.54,44.31
2025-04-15 15:41:27,a,26.52,44.23
2025-04-15 15:41:32,a,26.54,44.45
2025-04-15 15:41:37,a,26.51,44.49
2025-04-15 15:41:42,a,26.54,44.31
2025-04-15 15:41:47,a,26.52,44.16
2025-04-15 15:41:52,a,26.52,44.12
2025-04-15 15:41:57,a,26.51,44.18
2025-04-15 15:42:02,a,26.51,44.18
2025-04-15 15:42:07,a,26.51,44.23
2025-04-15 15:42:12,a,26.51,44.23
2025-04-15 15:42:17,a,26.52,44.16
2025-04-15 15:42:22,a,26.52,44.12
2025-04-15 15:42:27,a,26.52,44.14
2025-04-15 15:42:32,a,26.52,44.36
2025-04-15 15:42:37,a,26.52,44.18
2025-04-15 15:42:42,a,26.52,44.16
2025-04-15 15:42:47,a,26.52,44.16
2025-04-15 15:42:52,a,26.51,44.18
2025-04-15 15:42:57,a,26.51,44.35
2025-04-15 15:43:02,a,26.51,44.20
2025-04-15 15:43:07,a,26.51,44.08
2025-04-15 15:43:12,a,26.52,44.04
2025-04-15 15:43:17,a,26.50,44.02
2025-04-15 15:43:22,a,26.51,43.90
2025-04-15 15:43:27,a,26.51,43.96
2025-04-15 15:43:32,a,26.50,43.98
2025-04-15 15:43:37,a,26.50,43.98
2025-04-15 15:43:42,a,26.50,43.94
2025-04-15 15:43:47,a,26.50,43.92
2025-04-15 15:43:52,a,26.50,43.87
2025-04-15 15:43:57,a,26.48,43.98
2025-04-15 15:44:02,a,26.48,43.96
2025-04-15 15:44:07,a,26.50,43.98
2025-04-15 15:44:12,a,26.51,43.96
2025-04-15 15:44:17,a,26.50,44.12
2025-04-15 15:44:22,a,26.50,44.02
2025-04-15 15:44:27,a,26.48,43.96
2025-04-15 15:44:32,a,26.47,43.99
2025-04-15 15:44:37,a,26.47,44.00
2025-04-15 15:44:42,a,26.46,43.95
2025-04-15 15:44:47,a,26.47,43.99
2025-04-15 15:44:52,a,26.46,43.96
2025-04-15 15:44:57,a,26.47,43.96
2025-04-15 15:45:02,a,26.47,44.01
2025-04-15 15:45:07,a,26.47,44.01
2025-04-15 15:45:12,a,26.46,43.99
2025-04-15 15:45:17,a,26.46,43.89
2025-04-15 15:45:22,a,26.46,43.89
2025-04-15 15:45:27,a,26.47,43.89
2025-04-15 15:45:32,a,26.46,44.01
2025-04-15 15:45:37,a,26.46,44.03
2025-04-15 15:45:42,a,26.46,43.96
2025-04-15 15:45:47,a,26.47,43.86
2025-04-15 15:45:52,a,26.46,43.99
2025-04-15 15:45:57,a,26.46,43.99
2025-04-15 15:46:02,a,26.44,43.99
2025-04-15 15:46:07,a,26.46,43.99
2025-04-15 15:46:12,a,26.46,44.01
2025-04-15 15:46:17,a,26.44,43.95
2025-04-15 15:46:22,a,26.44,43.99
2025-04-15 15:46:27,a,26.44,44.04
2025-04-15 15:46:32,a,26.44,43.99
2025-04-15 15:46:37,a,26.43,43.91
2025-04-15 15:46:42,a,26.43,43.93
2025-04-15 15:46:47,a,26.44,44.03
2025-04-15 15:46:52,a,26.41,44.46
2025-04-15 15:46:57,a,26.40,44.41
2025-04-15 15:47:02,a,26.36,44.12
2025-04-15 15:47:07,a,26.36,44.18
2025-04-15 15:47:12,a,26.36,44.16
2025-04-15 15:47:17,a,26.36,44.16
2025-04-15 15:47:22,a,26.36,44.12
2025-04-15 15:47:27,a,26.35,44.14
2025-04-15 15:47:32,a,26.36,44.14
2025-04-15 15:47:37,a,26.36,44.16
2025-04-15 15:47:42,a,26.36,44.20
2025-04-15 15:47:47,a,26.36,44.23
2025-04-15 15:47:52,a,26.36,44.88
2025-04-15 15:53:03,a,25.69,46.28
2025-04-15 15:53:08,a,25.70,47.06
2025-04-15 15:53:18,a,25.75,47.22
2025-04-15 15:53:23,a,25.79,48.32
2025-04-15 15:54:23,a,26.01,45.59
2025-04-15 15:54:38,a,26.11,46.68
2025-04-15 15:54:43,a,26.14,46.05
2025-04-15 15:54:48,a,26.17,45.31
2025-04-15 15:54:53,a,26.21,45.05
2025-04-15 15:54:58,a,26.22,44.68
2025-04-15 15:55:03,a,26.25,44.40
2025-04-15 15:55:08,a,26.28,44.88
2025-04-15 15:55:18,a,26.31,46.00
2025-04-15 15:55:23,a,26.33,45.11
2025-04-15 15:55:28,a,26.35,44.64
2025-04-15 15:55:33,a,26.37,44.88
2025-04-15 15:55:38,a,26.40,44.68
2025-04-15 15:55:43,a,26.41,44.13
2025-04-15 15:55:48,a,26.47,44.40
2025-04-15 15:55:53,a,26.48,44.62
2025-04-15 15:55:58,a,26.50,44.20
2025-04-15 15:56:03,a,26.50,44.33
2025-04-15 15:56:08,a,26.52,44.39
2025-04-15 15:56:13,a,26.55,44.29
2025-04-15 15:56:18,a,26.56,44.32
2025-04-15 15:56:23,a,26.59,44.34
2025-04-15 15:56:28,a,26.62,44.08
2025-04-15 15:56:33,a,26.63,43.61
2025-04-15 15:56:38,a,26.65,43.87
2025-04-15 15:56:43,a,26.66,43.35
2025-04-15 15:56:48,a,26.67,43.27
2025-04-15 15:56:53,a,26.67,43.40
2025-04-15 15:57:03,a,26.67,44.86
2025-04-15 16:00:58,a,26.56,43.45
2025-04-15 16:01:07,a,26.55,43.72
2025-04-15 16:03:12,a,26.69,44.70
2025-04-15 16:03:36,a,26.85,49.24
2025-04-15 16:03:41,a,26.85,45.94
2025-04-15 16:03:46,a,26.84,45.04
2025-04-15 16:15:06,a,25.16,49.94
2025-04-15 16:23:29,a,25.11,47.48
2025-04-15 16:23:44,a,25.27,48.48
2025-04-15 16:23:49,a,25.34,47.67
2025-04-15 16:23:54,a,25.41,47.46
2025-04-15 16:23:59,a,25.49,47.35
2025-04-15 16:24:04,a,25.57,47.62
2025-04-15 16:24:09,a,25.65,46.56
2025-04-15 16:24:19,a,25.73,48.21
2025-04-15 16:24:49,a,25.98,46.20
2025-04-15 16:24:54,a,26.01,45.85
2025-04-15 16:24:59,a,26.03,45.32
2025-04-15 16:25:04,a,26.06,45.20
2025-04-15 16:25:09,a,26.11,45.41
2025-04-15 16:25:14,a,26.13,45.25
2025-04-15 16:25:19,a,26.18,44.88
2025-04-15 16:25:24,a,26.18,46.61
2025-04-15 16:25:29,a,26.21,44.95
2025-04-15 16:25:34,a,26.22,44.68
2025-04-15 16:25:39,a,26.26,45.15
2025-04-15 16:25:44,a,26.29,45.35
2025-04-15 16:25:49,a,26.32,45.10
2025-04-15 16:25:54,a,26.35,44.95
2025-04-15 16:25:59,a,26.39,44.70
2025-04-15 16:26:04,a,26.41,45.62
2025-04-15 16:26:09,a,26.44,44.80
2025-04-15 16:26:14,a,26.46,45.78
2025-04-15 16:26:19,a,26.47,44.75
2025-04-15 16:26:24,a,26.51,44.33
2025-04-15 16:26:29,a,26.55,45.03
2025-04-15 16:26:34,a,26.55,44.72
2025-04-15 16:26:39,a,26.56,44.63
2025-04-15 16:26:44,a,26.58,43.89
2025-04-15 16:26:49,a,26.59,44.03
2025-04-15 16:27:04,a,26.59,44.38
2025-04-15 16:27:19,a,26.65,43.77
2025-04-15 16:27:24,a,26.65,44.14
2025-04-15 16:27:34,a,26.69,43.98
2025-04-15 16:27:44,a,26.66,43.79
2025-04-15 16:27:49,a,26.67,43.87
2025-04-15 16:27:54,a,26.69,45.12
2025-04-15 16:30:19,a,26.73,44.17
2025-04-15 16:30:24,a,26.74,43.66
2025-04-15 16:30:29,a,26.76,43.30
2025-04-15 16:38:33,a,25.39,46.89
2025-04-15 16:38:38,a,25.49,49.95
2025-04-15 16:41:10,a,25.23,48.22
2025-04-15 16:41:15,a,25.27,46.81
2025-04-15 16:41:20,a,25.33,46.50
2025-04-15 16:41:25,a,25.38,48.69
2025-04-15 16:41:30,a,25.44,47.50
2025-04-15 16:41:35,a,25.48,47.19
2025-04-15 16:41:40,a,25.53,47.18
2025-04-15 16:41:45,a,25.60,46.53
2025-04-15 16:41:50,a,25.65,45.88
2025-04-15 16:41:55,a,25.70,46.98
2025-04-15 16:42:00,a,25.75,46.08
2025-04-15 16:42:05,a,25.79,45.86
2025-04-15 16:42:10,a,25.83,45.76
2025-04-15 16:42:15,a,25.88,45.57
2025-04-15 16:42:20,a,25.91,45.43
2025-04-15 16:42:25,a,25.95,45.60
2025-04-15 16:45:39,a,25.37,46.05
2025-04-15 16:45:49,a,25.44,46.24
2025-04-15 16:45:54,a,25.48,46.25
2025-04-15 16:45:59,a,25.50,46.03
2025-04-15 16:46:04,a,25.56,45.91
2025-04-15 16:46:09,a,25.61,46.23
2025-04-15 16:46:14,a,25.66,46.00
2025-04-15 16:46:19,a,25.70,45.87
2025-04-15 16:46:24,a,25.75,45.38
2025-04-15 16:46:29,a,25.77,45.17
2025-04-15 16:46:34,a,25.80,45.20
2025-04-15 16:46:39,a,25.83,44.90
2025-04-15 16:46:44,a,25.88,44.83
2025-04-15 16:46:54,a,25.92,44.93
2025-04-15 16:46:59,a,25.95,44.99
2025-04-15 16:47:04,a,25.98,45.04
2025-04-15 16:47:09,a,25.99,44.77
2025-04-15 16:47:14,a,26.01,44.53
2025-04-15 16:47:19,a,26.05,44.66
2025-04-15 16:47:24,a,26.06,44.64
2025-04-15 16:47:29,a,26.07,44.62
2025-04-15 16:47:39,a,26.11,44.71
2025-04-15 16:48:10,a,26.20,45.57
2025-04-15 16:48:15,a,26.22,45.50
2025-04-15 16:48:35,a,26.32,44.75
2025-04-15 16:48:40,a,26.28,44.80
2025-04-15 16:48:57,a,26.14,45.28
2025-04-15 16:49:02,a,26.10,44.72
2025-04-15 16:49:07,a,26.10,44.70
2025-04-15 16:49:12,a,26.11,44.51
2025-04-15 16:49:17,a,26.11,44.33
2025-04-15 16:49:22,a,26.13,44.21
2025-04-15 16:49:27,a,26.17,44.16
2025-04-15 16:49:32,a,26.17,44.09
2025-04-15 16:49:37,a,26.20,44.08
2025-04-15 16:49:42,a,26.20,44.08
2025-04-15 16:54:01,a,25.37,46.73
2025-04-15 16:54:13,a,25.39,46.66
2025-04-15 16:54:18,a,25.41,46.63
2025-04-15 16:54:23,a,25.45,46.05
2025-04-15 16:54:28,a,25.50,45.96
2025-04-15 16:54:33,a,25.53,46.24
2025-04-15 16:54:38,a,25.60,46.47
2025-04-15 16:54:43,a,25.64,46.68
2025-04-15 16:54:48,a,25.66,46.18
2025-04-15 16:54:53,a,25.72,47.85
2025-04-15 16:55:43,a,25.90,45.45
2025-04-15 16:55:58,a,25.91,45.45
2025-04-15 16:56:03,a,25.88,45.59
2025-04-15 16:56:08,a,25.90,45.44
2025-04-15 17:00:18,a,25.95,46.00
2025-04-15 17:00:30,a,25.95,45.22
2025-04-15 17:02:48,a,25.76,47.51
2025-04-15 17:02:53,a,25.80,46.90
2025-04-15 17:02:58,a,25.81,46.23
2025-04-15 17:03:03,a,25.85,46.22
2025-04-15 17:03:08,a,25.90,45.85
2025-04-15 17:03:13,a,25.92,45.74
2025-04-15 17:03:18,a,25.95,45.92
2025-04-15 17:03:23,a,25.98,45.63
2025-04-15 17:03:28,a,26.01,45.60
2025-04-15 17:03:33,a,26.03,45.58
2025-04-15 17:03:38,a,26.06,45.74
2025-04-15 17:03:43,a,26.07,46.27
2025-04-15 17:03:48,a,26.11,45.65
2025-04-15 17:03:53,a,26.14,45.84
2025-04-15 17:03:58,a,26.17,45.47
2025-04-15 17:04:03,a,26.17,45.15
2025-04-15 17:04:08,a,26.18,45.04
2025-04-15 17:04:13,a,26.18,45.14
2025-04-15 17:04:18,a,26.21,45.22
2025-04-15 17:04:23,a,26.22,45.11
2025-04-15 17:04:28,a,26.24,45.07
2025-04-15 17:04:33,a,26.26,46.31
2025-04-15 17:04:38,a,26.28,47.96
2025-04-15 17:04:43,a,26.29,46.49
2025-04-15 17:04:48,a,26.31,45.60
2025-04-15 17:04:53,a,26.32,45.28
2025-04-15 17:04:58,a,26.35,45.18
2025-04-15 17:05:03,a,26.33,45.05
2025-04-15 17:05:08,a,26.36,45.63
2025-04-15 17:05:13,a,26.37,45.11
2025-04-15 17:05:18,a,26.39,45.07
2025-04-15 17:05:24,a,26.40,44.97
2025-04-15 17:05:28,a,26.41,44.88
2025-04-15 17:05:33,a,26.44,44.77
2025-04-15 17:05:38,a,26.47,44.71
2025-04-15 17:05:43,a,26.48,44.85
2025-04-15 17:05:49,a,26.46,44.54
2025-04-15 17:05:53,a,26.48,44.49
2025-04-15 17:05:58,a,26.50,44.53
2025-04-15 17:06:03,a,26.51,45.32
